employee_id,name,gender,age,department,education,monthly_salary,satisfaction_score,attrited,join_date,exit_date,tenure_months
E0040,Deepa Reddy,Female,36.0,Operations,PhD,99511.0,1.0,No,2019-07-25,,73.5
E0041,Ganesh Pillai,Male,,Finance,,,3.0,No,2024-04-06,,17.1
E0042,Karthik Reddy,Female,,Operations,,58055.0,,No,2018-09-28,,83.3
E0043,Manoj Nair,Male,34.0,Hr,,62659.0,5.0,No,2018-11-11,,81.9
E0044,Kavya Iyer,Female,,Operations,MASTERS,,,No,2019-07-01,,74.3
E0045,Manoj Nair,Female,,Finance,PhD,86989.0,1.0,Yes,2019-05-01,2020-01-21,8.7
E0046,Ganesh Raj,Male,,Engineering,PhD,,5.0,Yes,2018-11-02,2023-04-10,53.2
E0047,Meera Reddy,Female,,Marketing,bachelors,,1.0,No,2020-08-05,,61.1
E0048,Kavya Reddy,Female,,Sales,Bachelors,,,No,2022-09-01,,36.2
E0049,Arjun Reddy,Male,,Engineering,PhD,102224.0,,Yes,2020-11-03,2023-04-11,29.2
E0050,Meera Kumar,Female,,Engineering,Bachelors,,,No,2019-09-02,,72.2
E0051,Ganesh Iyer,Male,,Operations,Masters,,4.0,Yes,2020-04-13,2024-08-19,52.2
E0052,Anitha Nair,Female,,Hr,bachelors,,3.0,No,2021-11-08,,46.0
E0053,Anitha Reddy,Female,,Sales,bachelors,,3.0,No,2018-11-04,,82.1
E0054,Ramesh Raj,Male,,Sales,,66849.0,,No,2019-12-17,,68.7
E0055,Ganesh Nair,Male,,Operations,,,2.0,No,2020-05-10,,64.0
E0056,Karthik Sharma,Female,,Engineering,MASTERS,,1.0,No,2022-04-25,,40.5
E0057,Arjun Kumar,Female,,Hr,Bachelors,57566.0,2.0,No,2023-12-03,,21.2
E0058,Manoj Kumar,Male,,Operations,,,2.0,No,2018-06-11,,86.9
E0059,Meera Kumar,Male,,Sales,MASTERS,,,No,2021-05-15,,51.8
E0060,Manoj Sharma,Male,,Marketing,Bachelors,96696.0,,No,2020-09-19,,59.6
E0061,Latha Reddy,Female,,Hr,bachelors,,1.0,No,2018-11-29,,81.3
E0062,Ganesh Raj,Female,,Sales,Masters,33838.0,3.0,No,2021-04-11,,52.9
E0063,Priya Sharma,Male,,Engineering,Masters,49551.0,,No,2019-03-23,,77.6
E0064,Divya Raj,Male,,Sales,Masters,,,Yes,2019-08-05,2020-03-05,7.0
E0065,Naveen Raj,Male,,Sales,Bachelors,,3.0,No,2023-11-20,,21.6
E0066,Vijay Kumar,Male,,Marketing,Bachelors,,,No,2022-09-18,,35.7
E0067,Latha Raj,Female,,Marketing,Bachelors,87198.0,,Yes,2024-01-28,,19.3
E0068,Ganesh Kumar,Male,,Finance,Bachelors,,3.0,No,2018-09-14,,83.8
E0069,Naveen Sharma,Female,,Engineering,bachelors,108097.0,1.0,No,2018-01-16,,91.7
E0070,Deepa Pillai,Female,,Finance,PhD,,3.0,Yes,2019-06-28,2024-03-26,56.9
E0071,Karthik Iyer,Female,,Engineering,bachelors,,5.0,No,2022-05-24,,39.5
E0072,Karthik Sharma,Male,,Operations,,,2.0,Yes,2018-12-11,2021-12-25,36.5
E0073,Priya Reddy,Female,,Operations,Masters,,,No,2019-05-12,,75.9
E0074,Priya Raj,Female,,Sales,bachelors,,,Yes,2021-02-26,2021-10-06,7.3
E0075,Divya Kumar,Male,,Sales,MASTERS,74004.0,1.0,No,2023-04-29,,28.4
E0076,Karthik Sharma,Male,,Operations,Masters,112130.0,2.0,No,2019-12-30,,68.3
E0077,Ramesh Sharma,Female,,Sales,Bachelors,,5.0,No,2020-04-13,,64.8
E0078,Latha Kumar,Female,56.0,Hr,PhD,,,No,2019-02-20,,78.6
E0079,Kavya Reddy,Male,,Engineering,,,1.0,No,2022-09-08,,36.0
E0080,Ganesh Reddy,Male,29.0,Hr,bachelors,,4.0,No,2020-04-14,,64.8
E0081,Suresh Kumar,Female,,Sales,PhD,76998.0,,No,2024-03-09,,18.0
E0082,Anitha Iyer,Male,30.0,Sales,,,4.0,No,2018-10-02,,83.2
E0083,Karthik Reddy,Male,,Operations,Masters,,,No,2019-10-19,,70.7
E0084,Ganesh Iyer,Male,57.0,Sales,bachelors,50243.0,,Yes,2022-04-21,2023-12-07,19.5
E0085,Manoj Iyer,Male,,Engineering,Bachelors,,5.0,No,2022-09-17,,35.7
E0086,Latha Nair,Male,,Engineering,bachelors,85068.0,1.0,No,2023-01-05,,32.1
E0087,Karthik Pillai,Female,30.0,Finance,MASTERS,,,No,2023-08-28,,24.4
E0088,Divya Pillai,Female,26.0,Operations,PhD,42850.0,2.0,No,2022-03-28,,41.4
E0089,Priya Kumar,Female,,Marketing,Masters,,3.0,No,2020-10-30,,58.3
E0090,Vijay Iyer,Female,,Operations,PhD,51075.0,,No,2020-08-30,,60.3
E0091,Anitha Pillai,Female,55.0,Engineering,bachelors,,3.0,Yes,2019-04-17,2021-07-21,27.1
E0092,Sneha Sharma,Male,,Hr,PhD,,5.0,Yes,2022-02-20,2024-03-28,25.2
E0093,Vijay Sharma,Male,,Operations,Masters,54050.0,4.0,Yes,2021-07-04,2021-12-10,5.2
E0094,Latha Raj,Male,,Operations,PhD,,5.0,Yes,2018-07-06,2021-12-08,41.1
E0095,Suresh Raj,Female,,Marketing,,,1.0,Yes,2023-04-30,,28.3
E0096,Vijay Nair,Male,,Engineering,Bachelors,,2.0,No,2018-02-17,,90.7
E0097,Arjun Nair,Male,,Sales,MASTERS,38751.0,2.0,Yes,2020-08-31,2025-04-12,55.4
E0098,Deepa Pillai,Female,,Operations,bachelors,,,No,2019-12-17,,68.7
E0099,Manoj Kumar,Female,24.0,Finance,PhD,59265.0,3.0,No,2019-12-20,,68.6
E0100,Divya Sharma,Male,,Operations,Masters,,1.0,No,2022-11-22,,33.5
E0101,Priya Pillai,Female,,Engineering,,,4.0,No,2019-10-15,,70.8
E0102,Latha Nair,Male,,Operations,MASTERS,119977.0,,No,2018-01-27,,91.4
E0103,Anitha Raj,Female,23.0,Sales,,70201.0,1.0,Yes,2018-04-21,2019-06-16,13.8
E0104,Divya Reddy,Female,56.0,Sales,bachelors,72632.0,,No,2018-07-11,,85.9
E0105,Priya Raj,Female,,Engineering,Masters,108122.0,1.0,Yes,2019-04-04,2024-01-21,57.6
E0106,Kavya Sharma,Male,,Marketing,bachelors,62040.0,,Yes,2022-10-02,2024-06-08,20.2
E0107,Kavya Iyer,Female,52.0,Sales,Bachelors,,5.0,No,2022-08-19,,36.7
E0108,Kavya Raj,Female,,Hr,bachelors,32073.0,1.0,Yes,2018-01-06,2022-07-14,54.2
E0109,Sneha Pillai,Female,,Operations,Bachelors,62189.0,2.0,No,2020-12-03,,57.2
E0110,Meera Reddy,Female,,Marketing,PhD,,,No,2021-12-27,,44.4
E0111,Deepa Iyer,Female,,Operations,MASTERS,107672.0,5.0,No,2019-12-02,,69.2
E0112,Divya Sharma,Male,,Operations,MASTERS,,4.0,Yes,2021-08-31,2024-06-08,33.2
E0113,Priya Raj,Male,,Marketing,Masters,,3.0,No,2023-03-08,,30.1
E0114,Suresh Raj,Female,,Marketing,Masters,,,Yes,2023-11-09,,22.0
E0115,Suresh Pillai,Female,,Engineering,Bachelors,,2.0,No,2021-05-03,,52.2
E0116,Ganesh Pillai,Female,,Hr,Bachelors,,3.0,No,2020-06-30,,62.3
E0117,Priya Pillai,Female,,Hr,PhD,80201.0,,No,2024-06-09,,15.0
E0118,Meera Nair,Female,,Engineering,MASTERS,,4.0,No,2022-06-27,,38.4
E0119,Anitha Reddy,Female,,Marketing,MASTERS,38943.0,2.0,No,2018-02-13,,90.8
E0120,Meera Pillai,Female,,Operations,Masters,92133.0,4.0,Yes,2023-02-14,,30.8
E0121,Anitha Nair,Male,,Operations,Bachelors,,3.0,No,2019-05-17,,75.8
E0122,Deepa Nair,Female,,Marketing,Bachelors,,4.0,Yes,2024-07-04,,14.2
E0123,Ramesh Nair,Female,,Operations,bachelors,,,No,2020-07-14,,61.8
E0124,Priya Sharma,Male,,Hr,bachelors,88120.0,2.0,No,2020-11-04,,58.1
E0125,Deepa Iyer,Male,,Sales,PhD,75477.0,,No,2022-01-24,,43.5
E0126,Arjun Reddy,Female,,Sales,PhD,,,No,2020-05-09,,64.0
E0127,Ramesh Nair,Female,,Operations,MASTERS,104739.0,2.0,No,2019-11-19,,69.6
E0128,Manoj Reddy,Female,,Sales,Masters,55693.0,5.0,No,2024-03-23,,17.5
E0129,Latha Raj,Female,,Finance,PhD,25865.0,,No,2019-11-06,,70.1
E0130,Sneha Nair,Female,23.0,Hr,PhD,,5.0,No,2018-11-05,,82.1
E0131,Latha Nair,Male,43.0,Sales,bachelors,106956.0,,No,2018-05-19,,87.7
E0132,Ramesh Sharma,Male,,Hr,MASTERS,,,No,2021-11-01,,46.2
E0133,Sneha Raj,Female,27.0,Finance,MASTERS,64219.0,4.0,Yes,2019-04-29,2023-07-27,50.9
E0134,Divya Nair,Female,,Engineering,,,5.0,Yes,2019-03-21,2024-01-27,58.2
E0135,Karthik Raj,Female,33.0,Sales,Bachelors,,4.0,No,2023-02-19,,30.6
E0136,Suresh Pillai,Male,48.0,Engineering,,64589.0,3.0,No,2024-04-21,,16.6
E0137,Divya Nair,Female,,Operations,MASTERS,,1.0,No,2023-11-09,,22.0
E0138,Suresh Nair,Female,,Hr,Bachelors,52823.0,1.0,Yes,2024-02-26,,18.4
E0139,Karthik Raj,Female,,Sales,,99578.0,1.0,Yes,2019-06-13,2023-09-23,51.3
E0140,Suresh Reddy,Male,38.0,Sales,Bachelors,,,No,2021-04-15,,52.8
E0141,Karthik Nair,Female,,Engineering,bachelors,,3.0,No,2021-07-03,,50.2
E0142,Anitha Raj,Male,,Sales,PhD,,3.0,Yes,2022-01-27,,43.4
E0143,Kavya Sharma,Female,,Sales,bachelors,27031.0,2.0,No,2021-09-22,,47.5
E0144,Priya Pillai,Male,32.0,Finance,Masters,,3.0,Yes,2021-03-06,2022-11-24,20.6
E0145,Vijay Pillai,Female,,Operations,Masters,,2.0,No,2023-08-10,,25.0
E0146,Divya Reddy,Male,,Hr,Bachelors,101859.0,5.0,Yes,2023-03-21,2024-11-21,20.1
E0147,Priya Nair,Male,,Operations,Masters,,2.0,No,2023-11-05,,22.1
E0148,Kavya Sharma,Male,37.0,Operations,PhD,92792.0,4.0,No,2024-04-30,,16.3
E0149,Manoj Pillai,Male,55.0,Sales,bachelors,,1.0,No,2019-10-02,,71.2
E0150,Ramesh Sharma,Female,,Engineering,Masters,,,No,2022-10-11,,34.9
E0151,Karthik Kumar,Female,53.0,Sales,Bachelors,,,No,2018-05-23,,87.5
E0152,Karthik Sharma,Male,,Marketing,Masters,,4.0,No,2024-05-01,,16.3
E0153,Priya Raj,Male,,Sales,Bachelors,28641.0,1.0,Yes,2020-11-14,2024-03-20,40.1
E0154,Ramesh Reddy,Female,46.0,Engineering,bachelors,,3.0,Yes,2022-12-13,2025-01-04,24.7
E0155,Priya Pillai,Male,,Sales,,50572.0,1.0,No,2018-02-21,,90.5
E0156,Manoj Kumar,Male,52.0,Hr,Masters,67279.0,,Yes,2018-03-31,2020-05-24,25.8
E0157,Divya Raj,Male,,Finance,MASTERS,,2.0,No,2024-03-16,,17.8
E0158,Naveen Pillai,Female,31.0,Sales,Masters,88233.0,,Yes,2020-12-03,2023-09-23,33.6
E0159,Latha Pillai,Male,,Engineering,bachelors,,2.0,No,2019-05-04,,76.2
E0160,Divya Pillai,Male,,Engineering,PhD,,4.0,Yes,2019-08-15,2024-05-22,57.2
E0161,Anitha Sharma,Male,,Hr,Bachelors,48682.0,,Yes,2018-06-16,2021-11-27,41.4
E0162,Karthik Iyer,Female,,Finance,,,2.0,Yes,2021-01-26,2024-10-01,44.2
E0163,Deepa Pillai,Female,27.0,Sales,Masters,,4.0,No,2023-10-25,,22.5
E0164,Vijay Raj,Male,,Sales,Bachelors,,5.0,Yes,2024-04-25,,16.5
E0165,Meera Sharma,Male,40.0,Engineering,Bachelors,100538.0,,No,2021-08-07,,49.0
E0166,Suresh Kumar,Male,,Engineering,Bachelors,47004.0,5.0,No,2018-12-29,,80.3
E0167,Ramesh Sharma,Female,,Sales,Bachelors,,,No,2024-06-19,,14.7
E0168,Meera Nair,Female,,Finance,Masters,39423.0,2.0,No,2024-07-27,,13.4
E0169,Manoj Reddy,Male,48.0,Hr,PhD,,4.0,No,2019-11-05,,70.1
E0170,Ganesh Raj,Female,57.0,Marketing,PhD,,3.0,No,2022-11-20,,33.6
E0171,Deepa Reddy,Female,,Sales,Masters,,5.0,No,2022-02-01,,43.2
E0172,Ganesh Pillai,Male,39.0,Finance,MASTERS,,5.0,Yes,2018-07-11,2022-05-14,46.1
E0173,Arjun Nair,Male,29.0,Engineering,PhD,109871.0,5.0,Yes,2018-06-11,2020-08-20,26.3
E0174,Karthik Nair,Female,,Operations,,92060.0,5.0,No,2023-12-27,,20.4
E0175,Kavya Pillai,Female,,Finance,bachelors,,5.0,No,2024-05-24,,15.5
E0176,Arjun Raj,Female,47.0,Marketing,PhD,,3.0,No,2020-06-26,,62.4
E0177,Naveen Nair,Female,57.0,Engineering,,27855.0,5.0,No,2021-03-12,,53.9
E0178,Ganesh Pillai,Female,,Finance,,93279.0,3.0,No,2021-12-21,,44.6
E0179,Vijay Pillai,Female,,Operations,MASTERS,,,No,2019-01-25,,79.4
E0180,Meera Nair,Female,,Hr,PhD,,,No,2024-05-31,,15.3
E0181,Sneha Sharma,Female,42.0,Marketing,bachelors,,,No,2022-05-20,,39.7
E0182,Kavya Raj,Male,36.0,Operations,MASTERS,,,No,2021-05-30,,51.3
E0183,Naveen Raj,Female,,Hr,MASTERS,,5.0,Yes,2018-02-13,2021-07-13,40.9
E0184,Deepa Nair,Female,22.0,Finance,PhD,,5.0,No,2022-01-05,,44.1
E0185,Ganesh Reddy,Male,,Operations,PhD,,,No,2024-06-09,,15.0
E0186,Karthik Raj,Female,33.0,Marketing,PhD,,,No,2021-07-26,,49.4
E0187,Deepa Reddy,Male,,Sales,MASTERS,,2.0,No,2023-11-17,,21.7
E0188,Sneha Iyer,Male,57.0,Sales,MASTERS,,3.0,No,2022-08-13,,36.9
E0189,Arjun Raj,Male,,Sales,Bachelors,,5.0,No,2023-08-02,,25.2
E0190,Anitha Iyer,Female,,Operations,Bachelors,,,Yes,2019-03-13,2020-05-25,14.4
E0191,Naveen Raj,Female,,Engineering,Bachelors,107404.0,2.0,Yes,2021-12-20,2023-09-17,20.9
E0192,Divya Raj,Male,,Hr,Masters,106287.0,1.0,No,2024-07-14,,13.8
E0193,Arjun Pillai,Female,,Finance,bachelors,89952.0,,No,2021-05-28,,51.4
E0194,Ganesh Reddy,Male,33.0,Finance,Bachelors,,3.0,Yes,2018-04-02,2019-06-14,14.4
E0195,Naveen Iyer,Male,,Hr,PhD,,4.0,No,2021-10-07,,47.0
E0196,Deepa Kumar,Female,30.0,Engineering,MASTERS,,2.0,No,2018-04-14,,88.8
E0197,Manoj Pillai,Male,,Engineering,Masters,,3.0,No,2019-10-15,,70.8
E0198,Manoj Reddy,Female,,Sales,Masters,,4.0,No,2020-12-04,,57.1
E0199,Karthik Iyer,Female,41.0,Engineering,Masters,99407.0,4.0,No,2022-04-26,,40.4
E0200,Naveen Raj,Female,34.0,Sales,PhD,,,No,2018-10-06,,83.1
E0201,Ganesh Sharma,Female,,Marketing,,107394.0,1.0,No,2022-07-11,,37.9
E0202,Deepa Kumar,Male,,Finance,,107421.0,1.0,No,2020-10-14,,58.8
E0203,Divya Nair,Female,,Sales,MASTERS,,,Yes,2019-10-26,2021-10-05,23.3
E0204,Priya Iyer,Female,,Finance,PhD,,1.0,No,2023-11-04,,22.1
E0205,Divya Raj,Male,,Sales,bachelors,,3.0,Yes,2018-06-02,2020-08-07,26.2
E0206,Manoj Sharma,Male,,Operations,,,4.0,Yes,2023-01-29,,31.3
E0207,Vijay Raj,Male,,Operations,Masters,59115.0,3.0,No,2019-11-02,,70.2
E0208,Kavya Raj,Male,,Sales,,117487.0,2.0,No,2023-06-16,,26.8
E0209,Suresh Reddy,Male,,Sales,bachelors,,,No,2024-04-26,,16.4
E0210,Ramesh Kumar,Male,,Engineering,bachelors,30688.0,2.0,No,2018-02-20,,90.6
E0211,Anitha Sharma,Female,26.0,Finance,Bachelors,,1.0,No,2023-04-04,,29.2
E0212,Naveen Reddy,Male,,Operations,,,1.0,No,2020-12-19,,56.6
E0213,Vijay Reddy,Female,,Engineering,MASTERS,,3.0,No,2018-11-17,,81.7
E0214,Anitha Kumar,Male,,Engineering,PhD,,2.0,Yes,2021-08-31,,48.3
E0215,Priya Kumar,Female,,Sales,Masters,,4.0,No,2019-03-16,,77.8
E0216,Karthik Raj,Female,,Engineering,PhD,77610.0,4.0,No,2019-11-02,,70.2
E0217,Divya Pillai,Male,,Operations,,111720.0,3.0,Yes,2023-09-26,2024-05-20,7.8
E0218,Anitha Reddy,Male,,Sales,MASTERS,,4.0,Yes,2022-04-01,,41.3
E0219,Manoj Nair,Male,,Operations,MASTERS,106247.0,5.0,No,2019-09-25,,71.5
E0220,Sneha Nair,Female,,Sales,Bachelors,108066.0,,No,2021-05-10,,52.0
E0221,Sneha Iyer,Female,,Operations,MASTERS,,1.0,No,2022-09-02,,36.2
E0222,Meera Raj,Male,,Engineering,MASTERS,,5.0,No,2019-01-24,,79.5
E0223,Meera Reddy,Male,,Operations,,114062.0,,No,2024-05-10,,16.0
E0224,Meera Nair,Male,52.0,Hr,Bachelors,,2.0,No,2024-02-08,,19.0
E0225,Priya Kumar,Male,41.0,Marketing,MASTERS,,,No,2018-06-20,,86.6
E0226,Meera Reddy,Male,,Marketing,,,1.0,No,2019-11-20,,69.6
E0227,Sneha Reddy,Female,42.0,Finance,Masters,,1.0,No,2018-06-28,,86.4
E0228,Sneha Raj,Female,29.0,Finance,MASTERS,,,No,2018-03-29,,89.4
E0229,Ganesh Pillai,Female,22.0,Sales,MASTERS,,3.0,No,2020-10-22,,58.5
E0230,Divya Pillai,Female,,Sales,bachelors,,2.0,No,2018-11-02,,82.2
E0231,Karthik Sharma,Female,,Marketing,bachelors,,2.0,No,2023-12-04,,21.2
E0232,Manoj Nair,Male,36.0,Marketing,Bachelors,,2.0,No,2021-07-11,,49.9
E0233,Suresh Reddy,Male,,Sales,Bachelors,,,No,2021-01-21,,55.6
E0234,Deepa Reddy,Male,,Operations,MASTERS,56200.0,,No,2019-02-10,,78.9
E0235,Priya Sharma,Male,,Operations,Masters,,2.0,Yes,2022-07-21,2024-09-08,25.6
E0236,Suresh Raj,Male,32.0,Sales,PhD,,2.0,No,2023-01-31,,31.2
E0237,Naveen Kumar,Female,,Engineering,bachelors,,3.0,No,2024-07-17,,13.7
E0238,Karthik Pillai,Female,,Finance,Bachelors,,,No,2021-07-31,,49.3
E0239,Divya Nair,Female,,Finance,MASTERS,,2.0,No,2020-03-31,,65.3
E0240,Karthik Kumar,Male,,Operations,,,1.0,Yes,2021-10-29,2023-02-16,15.6
E0241,Arjun Reddy,Female,,Finance,MASTERS,69272.0,,No,2022-07-19,,37.7
E0242,Latha Iyer,Female,,Hr,,,1.0,No,2020-11-18,,57.7
E0243,Anitha Kumar,Male,,Sales,MASTERS,,3.0,Yes,2019-10-02,2024-04-19,54.6
E0244,Suresh Reddy,Female,52.0,Operations,MASTERS,,,No,2024-06-13,,14.8
E0245,Manoj Iyer,Female,38.0,Engineering,PhD,60904.0,5.0,No,2022-01-20,,43.6
E0246,Priya Nair,Male,,Sales,,,3.0,Yes,2018-04-25,2018-11-24,7.0
E0247,Suresh Raj,Male,,Sales,bachelors,118012.0,2.0,No,2023-12-05,,21.1
E0248,Ramesh Sharma,Female,,Sales,bachelors,,1.0,No,2019-03-18,,77.7
E0249,Priya Kumar,Female,,Engineering,PhD,56697.0,3.0,No,2018-03-27,,89.4
E0250,Latha Raj,Female,,Operations,Masters,60032.0,1.0,No,2019-10-04,,71.2
